Name,Description,Code,Audit Examiner,Audit Supervisor,Claims Adjuster,Community Admin,Forms Admin,Integration Admin,Loss Control,Premium Auditor,Processor,Producer,Producer Clerical,Producer Code - Basics,Producer Code - Cancellations,Producer Code - Policy Changes,Producer Code - Renewals,Producer Code - Submissions,Rating Analyst,Rating Supervisor,Reinsurance Admin,Reinsurance Manager,Reporting Admin,Rule Admin,Superuser,Tools View,Underwriter,Underwriter Assistant,Underwriting Supervisor,User Admin
Create address book contacts,Permission to create a new contact in the address book,abcreate,x,x,,,,,,x,,x,,,,,,,,,x,x,,,x,,x,x,x,
Create address book preferred vendors,Permission to add a preferred vendor to the address book,abcreatepref,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delete address book contacts,Permission to delete an existing contact in the address book,abdelete,x,x,,,,,,x,,x,,,,,,,,,,,,,x,,x,x,x,
Delete address book preferred vendors,Permission to delete an existing preferred vendor address book entry,abdeletepref,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Edit address book contacts,Permission to edit an existing contact in the address book,abedit,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Edit address book preferred vendors,Permission to modify an existing preferred vendor address book entry,abeditpref,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View address book contacts,Permission to view the details of contact entries in the address book,abview,x,x,x,,,,,x,,x,,,,,,,,,,,,,x,,x,x,x,
View address book contact search pages,Permission to search contact entries in the address book,abviewsearch,x,x,x,,,,,x,,,,,,,,,,,x,x,,,x,,x,,x,
View account file billing,Permission to view account file billing page,accountbilling,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View account file claims,Permission to view account file claims page,accountclaims,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View account file contacts,Permission to view account file contacts page,accountcontacts,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Create account,Permission to create an account,accountcreate,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
View account file documents,Permission to view account file documents page,accountdocs,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View account file history,Permission to view account file history page,accounthistory,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Move policies,Permission to move policies between accounts,accountmovepolicies,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
View account file notes,Permission to view account file notes page,accountnotes,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
